id,category,category_rank,keyword,search_type,monthly_lower,monthly_upper,blog_documents,recent_posts,recent_posts_note,opportunity,persistence,home_fit,priority,overall_rank,search_source,live_pc_monthly,live_mobile_monthly,live_competition,live_depth,live_checked_at
K0001,경제·비즈니스,1,연봉계산기,도구·신청 혼합형,350700,350700,5143,227,수집결과 내 집계,100.0,90.38916715211668,75.0,92.11675014563501,6,네이버 검색광고 API,116500,234200,높음,3,2026-09-12T08:34:49+09:00
K0002,경제·비즈니스,2,퇴직금계산기,도구·신청 혼합형,290900,290900,4415,304,수집결과 내 집계,100.0,91.35983763286214,75.0,92.40795128985864,5,네이버 검색광고 API,89200,201700,높음,7,2026-09-12T08:34:49+09:00
K0003,경제·비즈니스,3,실업급여조건,세부 검색어,138700,138700,29766,987,이상(하한),100.0,94.91787735163143,62.5,90.97536320548943,13,네이버 검색광고 API,27200,111500,높음,9,2026-09-12T08:34:49+09:00
K0004,경제·비즈니스,4,실업급여계산기,도구·신청 혼합형,110500,110500,2778,186,수집결과 내 집계,100.0,88.07194251457979,75.0,91.42158275437393,10,네이버 검색광고 API,28500,82000,낮음,2,2026-09-12T08:34:49+09:00
K0005,경제·비즈니스,5,4대보험계산기,도구·신청 혼합형,90000,90000,2377,120,수집결과 내 집계,99.51774381508345,95.49330094551972,75.0,93.40686219119763,2,네이버 검색광고 API,47400,42600,높음,3,2026-09-12T08:34:49+09:00
K0006,경제·비즈니스,6,부가세계산기,도구·신청 혼합형,88900,88900,2084,75,수집결과 내 집계,99.42267180435584,95.82005376769442,75.0,93.45735203248624,1,네이버 검색광고 API,61700,27200,높음,10,2026-09-12T08:34:49+09:00
K0007,경제·비즈니스,7,주휴수당계산기,도구·신청 혼합형,84900,84900,3241,141,수집결과 내 집계,99.22109904169474,90.07636989077169,75.0,91.63346048807888,9,네이버 검색광고 API,15900,69000,중간,5,2026-09-12T08:34:49+09:00
K0008,경제·비즈니스,8,실업급여신청,도구·신청 혼합형,83500,83500,60320,985,이상(하한),99.2012143443313,94.91288020118432,50.0,88.07447123252095,39,네이버 검색광고 API,22300,61200,중간,2,2026-09-12T08:34:49+09:00
K0009,경제·비즈니스,9,연봉실수령액,세부 검색어,75600,75600,17578,996,이상(하한),98.47345104446903,87.74418708485126,75.0,90.5599816476899,17,네이버 검색광고 API,16900,58700,높음,3,2026-09-12T08:34:49+09:00
K0010,경제·비즈니스,10,실업급여신청방법,세부 검색어,43100,43100,25018,996,이상(하한),95.26719402642598,89.96279813875859,75.0,89.62243645484057,21,네이버 검색광고 API,13100,30000,중간,5,2026-09-12T08:34:49+09:00
K0011,경제·비즈니스,11,증여세세율,세부 검색어,38700,38700,10462,244,수집결과 내 집계,94.86025219697436,97.79529314572011,75.0,91.76871404220321,8,네이버 검색광고 API,6200,32500,높음,10,2026-09-12T08:34:49+09:00
K0012,경제·비즈니스,12,주휴수당조건,세부 검색어,40480,40480,6057,360,수집결과 내 집계,94.79666669122466,95.226678904488,62.5,88.46633701695873,34,네이버 검색광고 API,6880,33600,높음,3,2026-09-12T08:34:49+09:00
K0013,경제·비즈니스,13,퇴직금지급기준,세부 검색어,37060,37060,7426,390,수집결과 내 집계,94.31699544371625,90.51439622635314,62.5,86.81281658976407,56,네이버 검색광고 API,6660,30400,높음,10,2026-09-12T08:34:49+09:00
K0014,경제·비즈니스,14,양도소득세계산기,도구·신청 혼합형,28440,28440,4035,141,수집결과 내 집계,93.54013157756532,91.13994273429662,75.0,89.11204860907165,26,네이버 검색광고 API,9740,18700,높음,10,2026-09-12T08:34:49+09:00
K0015,경제·비즈니스,15,실업급여수급기간,세부 검색어,30930,30930,8810,640,수집결과 내 집계,93.14949885661,93.25254577753985,75.0,89.55051316156695,23,네이버 검색광고 API,6230,24700,낮음,2,2026-09-12T08:34:49+09:00
K0016,경제·비즈니스,16,연차계산기,도구·신청 혼합형,27900,27900,2516,132,수집결과 내 집계,92.80722427768134,93.86799707677096,75.0,89.56401126187195,22,네이버 검색광고 API,17900,10000,높음,9,2026-09-12T08:34:49+09:00
K0017,경제·비즈니스,17,상속세면제한도,세부 검색어,27370,27370,4920,134,수집결과 내 집계,92.50919414746471,91.49020223093478,75.0,88.70165774301279,33,네이버 검색광고 API,3970,23400,높음,10,2026-09-12T08:34:49+09:00
K0018,경제·비즈니스,18,세금계산기,도구·신청 혼합형,24890,24890,18317,785,수집결과 내 집계,92.10069580552852,88.84486295765866,75.0,87.70380679006186,43,네이버 검색광고 API,5890,19000,높음,3,2026-09-12T08:34:49+09:00
K0019,경제·비즈니스,19,연차발생기준,세부 검색어,23660,23660,4232,230,수집결과 내 집계,91.81300454897926,90.10289649305167,62.5,85.43737122240513,85,네이버 검색광고 API,7260,16400,높음,10,2026-09-12T08:34:49+09:00
K0020,경제·비즈니스,20,퇴직금계산,세부 검색어,23270,23270,18986,996,이상(하한),91.61212768409885,92.18157319283435,75.0,88.46053579989973,35,네이버 검색광고 API,6770,16500,높음,10,2026-09-12T08:34:49+09:00
K0021,경제·비즈니스,21,자녀증여한도,세부 검색어,20910,20910,4371,228,수집결과 내 집계,91.12690536535719,97.3461481139007,75.0,89.7672971168488,19,네이버 검색광고 API,3210,17700,높음,10,2026-09-12T08:34:49+09:00
K0022,경제·비즈니스,22,증여세계산기,도구·신청 혼합형,17110,17110,2038,54,수집결과 내 집계,90.31463743420575,92.22056580144348,75.0,87.82348845753592,41,네이버 검색광고 API,4810,12300,높음,9,2026-09-12T08:34:49+09:00
K0023,경제·비즈니스,23,1가구2주택세금,세부 검색어,15770,15770,5444,84,수집결과 내 집계,90.08842179871537,96.94422862821934,50.0,84.12747948782348,116,네이버 검색광고 API,2770,13000,높음,7,2026-09-12T08:34:49+09:00
K0024,경제·비즈니스,24,연차수당계산기,도구·신청 혼합형,16800,16800,1250,63,수집결과 내 집계,89.7452247287773,89.46077680375602,75.0,86.71084540551546,59,네이버 검색광고 API,8840,7960,낮음,0,2026-09-12T08:34:49+09:00
K0025,경제·비즈니스,25,증여세면제한도,세부 검색어,16260,16260,8866,270,수집결과 내 집계,89.59715868718801,96.90837940632377,75.0,88.87109316549115,32,네이버 검색광고 API,2860,13400,높음,10,2026-09-12T08:34:49+09:00
K0026,경제·비즈니스,26,세금계산서발행,세부 검색어,15820,15820,49834,672,수집결과 내 집계,75.32787845276576,91.19423595258648,75.0,80.02221001215882,251,네이버 검색광고 API,9200,6620,높음,10,2026-09-12T08:34:49+09:00
K0027,경제·비즈니스,27,신용점수조회,도구·신청 혼합형,15480,15480,7749,557,수집결과 내 집계,89.42008814785646,97.96399284080033,50.0,84.09924192616833,118,네이버 검색광고 API,2180,13300,높음,10,2026-09-12T08:34:49+09:00
K0028,경제·비즈니스,28,소득세계산기,도구·신청 혼합형,14870,14870,8512,316,수집결과 내 집계,89.03730855029448,89.06723404449467,75.0,86.23882448849564,67,네이버 검색광고 API,10300,4570,높음,3,2026-09-12T08:34:49+09:00
